月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
1月,大博,多余行,王永菊-单侧膝关节骨性关节病  2/7,1574032,整行,,1.0/0.0/0.0,,12,
1月,大博,多余行,王永菊-单侧膝关节骨性关节病  3/7,1574032,整行,,1.0/0.0/0.0,,13,
1月,大博,多余行,王永菊-单侧膝关节骨性关节病  4/7,1574032,整行,,1.0/0.0/0.0,,14,
1月,大博,多余行,王永菊-单侧膝关节骨性关节病  5/7,1574032,整行,,1.0/0.0/0.0,,15,
1月,大博,多余行,王永菊-单侧膝关节骨性关节病  6/7,1574032,整行,,1.0/0.0/0.0,,16,
1月,大博,多余行,王永菊-单侧膝关节骨性关节病  7/7,1574032,整行,,1.0/2500.0/2500.0,,17,
1月,大博,多余行,王永菊单侧膝关节加件-1/双/Z7520,1574156,整行,,1.0/0.0/0.0,,18,
1月,大博,多余行,张淑芳-右侧股骨头缺血性坏死1/8,1574156,整行,,1.0/1750.0/1750.0,,19,
1月,大博,多余行,张淑芳-右侧股骨头缺血性坏死2/8,1574156,整行,,1.0/0.0/0.0,,20,
1月,大博,多余行,张淑芳-右侧股骨头缺血性坏死3/8,1574156,整行,,1.0/0.0/0.0,,21,
1月,大博,多余行,张淑芳-右侧股骨头缺血性坏死4/8,1574156,整行,,1.0/0.0/0.0,,22,
1月,大博,多余行,张淑芳-右侧股骨头缺血性坏死5/8,1574156,整行,,1.0/0.0/0.0,,23,
1月,大博,多余行,张淑芳-右侧股骨头缺血性坏死6/8,1574156,整行,,1.0/0.0/0.0,,24,
1月,大博,多余行,张淑芳-右侧股骨头缺血性坏死7/8,1574156,整行,,1.0/0.0/0.0,,25,
1月,大博,多余行,张淑芳-右侧股骨头缺血性坏死8/8,1574156,整行,,1.0/0.0/0.0,,26,
1月,手术室,字段不一致-单价,国纳可吸收施夹器（J16）-1/双/Z2060,1571839,单价,52.5,28.0,435,435,原始按器械数×基础单价(52.5)计费；处理后按标准价(28)计费
1月,手术室,字段不一致-总价,国纳可吸收施夹器（J16）-1/双/Z2060,1571839,总价,52.5,28.0,435,435,原始按器械数×基础单价(52.5)计费；处理后按标准价(28)计费
1月,手术室,字段不一致-单价,国纳可吸收施夹器（J20）-1/双/Z2060,1571839,单价,52.5,28.0,436,436,原始按器械数×基础单价(52.5)计费；处理后按标准价(28)计费
1月,手术室,字段不一致-总价,国纳可吸收施夹器（J20）-1/双/Z2060,1571839,总价,105.0,56.0,436,436,原始按器械数×基础单价(52.5)计费；处理后按标准价(28)计费
1月,手术室,字段不一致-单价,市二院止血带6个（只消毒）,1572195,单价,0.0,8.0,463,463,
1月,手术室,字段不一致-总价,市二院止血带6个（只消毒）,1572195,总价,0.0,8.0,463,463,
