月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
2月,手术室,字段不一致-总价,刷手包,1577840,总价,0.0,20.0,84,84,
2月,手术室,字段不一致-单价,敷料包（无纺布）,1578076,单价,0.0,20.0,88,88,
2月,手术室,字段不一致-总价,敷料包（无纺布）,1578076,总价,0.0,100.0,88,88,
2月,手术室,字段不一致-单价,刷手包,1578076,单价,0.0,20.0,89,89,
2月,手术室,字段不一致-总价,刷手包,1578076,总价,0.0,40.0,89,89,
2月,手术室,字段不一致-单价,敷料包（无纺布）,1578468,单价,0.0,20.0,99,99,
2月,手术室,字段不一致-总价,敷料包（无纺布）,1578468,总价,0.0,80.0,99,99,
2月,手术室,字段不一致-单价,敷料包（无纺布）,1578698,单价,0.0,20.0,100,100,
2月,手术室,字段不一致-总价,敷料包（无纺布）,1578698,总价,0.0,60.0,100,100,
2月,手术室,字段不一致-单价,环氧乙烷（自行打包）-1包,1579886,单价,0.0,35.0,114,114,
2月,手术室,字段不一致-总价,环氧乙烷（自行打包）-1包,1579886,总价,0.0,245.0,114,114,
2月,手术室,字段不一致-单价,敷料包（无纺布）,1580452,单价,0.0,20.0,115,115,
2月,手术室,字段不一致-总价,敷料包（无纺布）,1580452,总价,0.0,40.0,115,115,
2月,手术室,字段不一致-单价,刷手包,1580452,单价,0.0,20.0,116,116,
2月,手术室,字段不一致-总价,刷手包,1580452,总价,0.0,40.0,116,116,
2月,手术室,字段不一致-单价,环氧乙烷（自行打包）-1包,1580923,单价,0.0,35.0,132,132,
2月,手术室,字段不一致-总价,环氧乙烷（自行打包）-1包,1580923,总价,0.0,70.0,132,132,
2月,手术室,字段不一致-单价,敷料包（无纺布）,1581129,单价,0.0,20.0,136,136,
2月,手术室,字段不一致-总价,敷料包（无纺布）,1581129,总价,0.0,20.0,136,136,
2月,手术室,汇总不一致-总价,手术室,,总价,7295.0,8473.0,8,8,
3月,供应室,字段不一致-单价,敷料包（无纺布）,1581539,单价,0.0,20.0,13,12,
3月,供应室,字段不一致-总价,敷料包（无纺布）,1581539,总价,0.0,20.0,13,12,
3月,供应室,字段不一致-单价,器械包（无纺布）,1581539,单价,0.0,20.0,14,13,
3月,供应室,字段不一致-总价,器械包（无纺布）,1581539,总价,0.0,20.0,14,13,
3月,供应室,字段不一致-单价,敷料包（无纺布）,1582474,单价,0.0,20.0,16,15,
3月,供应室,字段不一致-总价,敷料包（无纺布）,1582474,总价,0.0,40.0,16,15,
3月,供应室,字段不一致-单价,器械包（无纺布）,1583426,单价,0.0,20.0,18,17,
3月,供应室,字段不一致-总价,器械包（无纺布）,1583426,总价,0.0,40.0,18,17,
3月,供应室,字段不一致-单价,器械包（无纺布）,1585484,单价,0.0,20.0,20,19,
3月,供应室,字段不一致-总价,器械包（无纺布）,1585484,总价,0.0,40.0,20,19,
3月,供应室,字段不一致-单价,敷料包（纸塑袋）,1585484,单价,0.0,8.0,21,20,
3月,供应室,字段不一致-总价,敷料包（纸塑袋）,1585484,总价,0.0,8.0,21,20,
3月,供应室,字段不一致-单价,器械包（纸塑袋）,1585891,单价,0.0,8.0,22,21,
3月,供应室,字段不一致-总价,器械包（纸塑袋）,1585891,总价,0.0,8.0,22,21,
3月,供应室,字段不一致-单价,器械包（无纺布）,1586376,单价,0.0,20.0,24,23,
3月,供应室,字段不一致-总价,器械包（无纺布）,1586376,总价,0.0,80.0,24,23,
3月,供应室,字段不一致-单价,敷料包（纸塑袋）,1586376,单价,0.0,8.0,25,24,
3月,供应室,字段不一致-总价,敷料包（纸塑袋）,1586376,总价,0.0,16.0,25,24,
3月,供应室,字段不一致-单价,敷料包（纸塑袋）,1586821,单价,0.0,8.0,26,25,
3月,供应室,字段不一致-总价,敷料包（纸塑袋）,1586821,总价,0.0,8.0,26,25,
3月,供应室,字段不一致-单价,敷料包（无纺布）,1587552,单价,0.0,20.0,28,27,
3月,供应室,字段不一致-总价,敷料包（无纺布）,1587552,总价,0.0,60.0,28,27,
3月,供应室,字段不一致-单价,敷料包（无纺布）,1587851,单价,0.0,20.0,29,28,
3月,供应室,字段不一致-总价,敷料包（无纺布）,1587851,总价,0.0,20.0,29,28,
3月,供应室,字段不一致-单价,器械包（无纺布）,1588442,单价,0.0,20.0,31,30,
3月,供应室,字段不一致-总价,器械包（无纺布）,1588442,总价,0.0,40.0,31,30,
3月,供应室,字段不一致-单价,敷料包（纸塑袋）,1588442,单价,0.0,8.0,32,31,
3月,供应室,字段不一致-总价,敷料包（纸塑袋）,1588442,总价,0.0,16.0,32,31,
3月,供应室,字段不一致-单价,器械包（无纺布）,1588780,单价,0.0,20.0,33,32,
3月,供应室,字段不一致-总价,器械包（无纺布）,1588780,总价,0.0,20.0,33,32,
3月,供应室,字段不一致-单价,器械包（无纺布）,1589552,单价,0.0,20.0,35,34,
3月,供应室,字段不一致-总价,器械包（无纺布）,1589552,总价,0.0,40.0,35,34,
3月,供应室,字段不一致-单价,器械包（无纺布）,1589870,单价,0.0,20.0,36,35,
3月,供应室,字段不一致-总价,器械包（无纺布）,1589870,总价,0.0,20.0,36,35,
3月,供应室,字段不一致-单价,器械包（无纺布）,1590413,单价,0.0,20.0,38,37,
3月,供应室,字段不一致-总价,器械包（无纺布）,1590413,总价,0.0,60.0,38,37,
3月,供应室,字段不一致-单价,敷料包（纸塑袋）,1590413,单价,0.0,8.0,39,38,
3月,供应室,字段不一致-总价,敷料包（纸塑袋）,1590413,总价,0.0,8.0,39,38,
3月,供应室,字段不一致-单价,敷料包（无纺布）,1590851,单价,0.0,20.0,40,39,
3月,供应室,字段不一致-总价,敷料包（无纺布）,1590851,总价,0.0,20.0,40,39,
3月,供应室,汇总不一致-总价,供应室,,总价,135.0,719.0,11,10,
3月,手术室,字段不一致-单价,器械包（无纺布）,1581540,单价,0.0,20.0,13,13,
3月,手术室,字段不一致-总价,器械包（无纺布）,1581540,总价,0.0,20.0,13,13,
3月,手术室,字段不一致-单价,刷手包,1581540,单价,0.0,20.0,14,14,
3月,手术室,字段不一致-总价,刷手包,1581540,总价,0.0,20.0,14,14,
3月,手术室,字段不一致-单价,刷手包,1581813,单价,0.0,20.0,24,24,
3月,手术室,字段不一致-总价,刷手包,1581813,总价,0.0,40.0,24,24,
3月,手术室,字段不一致-单价,敷料包（无纺布）,1582120,单价,0.0,20.0,36,36,
3月,手术室,字段不一致-总价,敷料包（无纺布）,1582120,总价,0.0,80.0,36,36,
