月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
1月,全部科室(汇总对比),缺失行,烙治头-1/Z7534,1567402,整行,1.0/6.4/6.4,,16,,
1月,全部科室(汇总对比),缺失行,组织钳-1/Z1026,1567402,整行,1.0/6.4/6.4,,17,,
1月,全部科室(汇总对比),缺失行,镊子82弯针4吸引管57喉镜4盘1/w9050,1567402,整行,1.0/651.2/651.2,,18,,
1月,全部科室(汇总对比),缺失行,鼻镜25 方盘1/W9050,1567431,整行,1.0/114.4/114.4,,19,,
1月,全部科室(汇总对比),缺失行,鼻镜25 方盘1/W9050,1567933,整行,4.0/114.4/457.6,,20,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1567933,整行,1.0/6.4/6.4,,21,,
1月,全部科室(汇总对比),缺失行,耳镜-1/Z1020,1567933,整行,1.0/6.4/6.4,,22,,
1月,全部科室(汇总对比),缺失行,烙治头-1/Z7534,1567933,整行,3.0/6.4/19.2,,23,,
1月,全部科室(汇总对比),缺失行,组织钳-1/Z1026,1567933,整行,1.0/6.4/6.4,,24,,
1月,全部科室(汇总对比),缺失行,镊子44弯针5吸引管33喉镜5盘1/w9050,1567933,整行,1.0/387.2/387.2,,25,,
1月,全部科室(汇总对比),缺失行,鼻镜25 方盘1/W9050,1568247,整行,5.0/114.4/572.0,,26,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1568247,整行,2.0/6.4/12.8,,27,,
1月,全部科室(汇总对比),缺失行,烙治头-1/Z7534,1568247,整行,5.0/6.4/32.0,,28,,
1月,全部科室(汇总对比),缺失行,组织钳-1/Z1026,1568247,整行,1.0/6.4/6.4,,29,,
1月,全部科室(汇总对比),缺失行,镊子41弯针2吸引管27喉镜9盘1/w9050,1568247,整行,1.0/352.0/352.0,,30,,
1月,全部科室(汇总对比),缺失行,橄榄头-20/Z2030,1568292,整行,5.0/70.4/352.0,,31,,
1月,全部科室(汇总对比),缺失行,鼻镜25 方盘1/W9050,1568610,整行,7.0/114.4/800.8,,32,,
1月,全部科室(汇总对比),缺失行,烙治头-1/Z7534,1568610,整行,3.0/6.4/19.2,,33,,
1月,全部科室(汇总对比),缺失行,直角钳-1/Z1029,1568610,整行,1.0/6.4/6.4,,34,,
1月,全部科室(汇总对比),缺失行,组织钳-1/Z1026,1568610,整行,1.0/6.4/6.4,,35,,
1月,全部科室(汇总对比),缺失行,镊子66弯针6吸引管57喉镜6盘1/w9050,1568610,整行,1.0/598.4/598.4,,36,,
1月,全部科室(汇总对比),缺失行,鼻镜25 方盘1/W9050,1568999,整行,4.0/114.4/457.6,,37,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1568999,整行,1.0/6.4/6.4,,38,,
1月,全部科室(汇总对比),缺失行,耳镜-1/Z1020,1568999,整行,1.0/6.4/6.4,,39,,
1月,全部科室(汇总对比),缺失行,烙治头-1/Z7534,1568999,整行,1.0/6.4/6.4,,40,,
1月,全部科室(汇总对比),缺失行,组织钳-1/Z1026,1568999,整行,1.0/6.4/6.4,,41,,
1月,全部科室(汇总对比),缺失行,镊子53弯针4吸管42喉镜3盘1/W9050,1568999,整行,1.0/453.2/453.2,,42,,
1月,全部科室(汇总对比),缺失行,鼻镜25 方盘1/W9050,1569342,整行,5.0/114.4/572.0,,43,,
1月,全部科室(汇总对比),缺失行,烙治头-1/Z7534,1569342,整行,4.0/6.4/25.6,,44,,
1月,全部科室(汇总对比),缺失行,组织钳-1/Z1026,1569342,整行,1.0/6.4/6.4,,45,,
1月,全部科室(汇总对比),缺失行,镊子46弯针5吸引管38喉镜5盘1/w9050,1569342,整行,1.0/418.0/418.0,,46,,
1月,全部科室(汇总对比),缺失行,橄榄头-20/Z2030,1569404,整行,8.0/70.4/563.2,,47,,
1月,全部科室(汇总对比),缺失行,鼻镜25 方盘1/W9050,1569633,整行,3.0/114.4/343.2,,48,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1569633,整行,1.0/6.4/6.4,,49,,
1月,全部科室(汇总对比),缺失行,耳镜-1/Z1020,1569633,整行,1.0/6.4/6.4,,50,,
1月,全部科室(汇总对比),缺失行,烙治头-1/Z7534,1569633,整行,3.0/6.4/19.2,,51,,
1月,全部科室(汇总对比),缺失行,镊子69弯针14吸引管51喉镜18盘1/w9050,1569633,整行,1.0/673.2/673.2,,52,,
1月,全部科室(汇总对比),缺失行,橄榄头-20/Z2030,1569635,整行,1.0/70.4/70.4,,53,,
1月,全部科室(汇总对比),缺失行,橄榄头-20/Z2030,1569637,整行,5.0/70.4/352.0,,54,,
1月,全部科室(汇总对比),缺失行,鼻镜25 方盘1/W9050,1569847,整行,5.0/114.4/572.0,,55,,
1月,全部科室(汇总对比),缺失行,烙治头-1/Z7534,1569847,整行,4.0/6.4/25.6,,56,,
1月,全部科室(汇总对比),缺失行,组织钳-1/Z1026,1569847,整行,1.0/6.4/6.4,,57,,
1月,全部科室(汇总对比),缺失行,镊子56弯针3吸管47喉镜3盘1/w9050,1569847,整行,1.0/484.0/484.0,,58,,
1月,全部科室(汇总对比),缺失行,鼻镜25 方盘1/W9050,1570254,整行,6.0/114.4/686.4,,59,,
